,endothelial cell,epithelial cell of proximal tubule,kidney collecting duct epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle epithelial cell,podocyte,immune cell,pericyte
0,0.031094383,0.9541878,0.00039345154,0.00089737435,0.011294281,0.00017396774,0.0019546049,4.1822054e-06
1,0.058187906,0.7985841,0.00552003,0.008469911,0.04583524,0.037193794,0.04615874,5.025534e-05
2,0.08644258,0.8109975,0.0040564067,0.0071089775,0.04087411,0.04370444,0.0065694586,0.0002465172
3,0.13756855,0.4962171,0.015769944,0.049690273,0.1358398,0.12162309,0.040768564,0.0025227235
4,0.23090829,0.52820736,0.008957062,0.015988367,0.020794807,0.15053879,0.043699395,0.000905848
5,0.0071356343,0.57103425,0.12106023,0.059844434,0.23726779,0.00042754493,0.002480712,0.0007494078
6,0.08217702,0.8678478,0.002324755,0.0032515533,0.030272711,0.0006379614,0.013466946,2.1169204e-05
7,0.09172205,0.4452913,0.10476213,0.16227132,0.09026199,0.05923779,0.044332597,0.0021207607
8,0.016668687,0.96356386,0.00031618477,0.00042331347,0.017096842,0.00011385392,0.0018133969,3.9705474e-06
9,0.06981449,0.6982524,0.005849353,0.013443604,0.18707314,0.00261733,0.022572575,0.00037711268
10,0.09335059,0.47096828,0.015423551,0.04905341,0.26170012,0.08094819,0.024402756,0.0041531143
11,0.11567332,0.5777324,0.0060956604,0.0051842174,0.24739423,0.0013240599,0.046359953,0.00023615656
12,0.058715742,0.67650217,0.010877106,0.02723798,0.20886014,0.0020084626,0.015307063,0.0004913542
13,0.06615295,0.79790556,0.0012971588,0.0055953832,0.111102834,0.0012336777,0.016685972,2.6466387e-05
14,0.05765784,0.62966424,0.007393821,0.04382298,0.24536334,0.000580686,0.015163863,0.00035322987
15,0.045519322,0.76891774,0.0015935596,0.009821604,0.1674568,9.735754e-05,0.0065693986,2.4174356e-05
16,0.07182873,0.73449695,0.0076994966,0.030709324,0.12152384,0.0008245752,0.032850806,6.6291796e-05
17,0.0032238143,0.98477155,0.00043147794,0.0030676622,0.0059138252,0.0018598207,0.0007315405,2.9846916e-07
18,0.15341093,0.2955349,0.021609752,0.2130604,0.12868255,0.13852298,0.047681883,0.001496589
19,0.11200313,0.6521692,0.004778518,0.011355762,0.1731126,0.004005557,0.041870657,0.0007045208
20,0.13498443,0.53622246,0.0076819984,0.048716996,0.22678532,0.0013746623,0.042797156,0.0014369299
21,0.12999192,0.5812,0.0043686293,0.009520508,0.2496835,0.0005739067,0.023708837,0.00095267384
22,0.086258024,0.54859805,0.0066744685,0.080074616,0.2499963,0.0010588242,0.026817612,0.000522139
23,0.17406294,0.6817123,0.00382565,0.008043851,0.083757564,0.0004912323,0.04769396,0.00041242872
24,0.13211173,0.7138801,0.0024436961,0.0039737304,0.12642069,0.00082862127,0.020111602,0.00022979642
25,0.12416607,0.4818503,0.01648081,0.07806804,0.2557136,0.0022867504,0.03971972,0.0017146957
26,0.009651507,0.6824445,0.002579496,0.018572362,0.018385997,0.26603216,0.0023096525,2.4332428e-05
27,0.06955265,0.71406436,0.00322158,0.01185811,0.019589296,0.1768172,0.004799944,9.6857315e-05
28,0.0008106478,0.9107582,0.0011893422,0.06205603,0.023406047,0.0013343691,0.0004447207,5.941032e-07
29,0.08710543,0.8768598,0.00060266344,0.0015575722,0.027768381,0.00025356034,0.0058453446,7.2540165e-06
30,0.11722661,0.53199697,0.055061474,0.02740232,0.23075502,0.0004743587,0.033585414,0.0034978797
31,0.1345563,0.50472987,0.014646568,0.034918867,0.16150938,0.012160829,0.13640136,0.0010768591
32,0.17267057,0.4779149,0.01845932,0.02406846,0.25370657,0.0011024869,0.046993576,0.0050840806
33,0.19462,0.47780067,0.032044593,0.013914044,0.21917462,0.00046133512,0.048800286,0.013184404
34,0.19291106,0.4733642,0.042415768,0.0153559605,0.20281379,0.00034060644,0.06330948,0.009489197
35,0.19560668,0.56702626,0.017268157,0.010099416,0.14419171,0.00033080738,0.054252878,0.011224078
36,0.18892421,0.52337646,0.043848615,0.013321731,0.17792852,0.00023530808,0.03792841,0.014436782
37,0.17677495,0.48612306,0.07314268,0.01908222,0.17706381,0.0004569639,0.05803152,0.009324781
38,0.10735786,0.65651613,0.0026685093,0.0054226755,0.18367384,0.00046319995,0.043601602,0.00029615447
39,0.14016508,0.6097232,0.008466296,0.020668626,0.0870958,0.013964424,0.11984082,7.5764634e-05
